timestamp,elapsed_time,ball_x,ball_y,target_x,target_y,error_x,error_y,error_magnitude,controller_rx,controller_ry,tilt_magnitude,loop_time_ms
13:16:46.063,0.013,-2.172,-3.758,0.000,0.000,-2.172,-3.758,4.341,-0.382,0.217,0.439,
13:16:46.083,0.034,-2.172,-3.758,0.000,0.000,-2.172,-3.758,4.341,-0.381,0.217,0.439,
13:16:46.104,0.054,-2.172,-3.759,0.000,0.000,-2.172,-3.759,4.342,-0.381,0.217,0.438,
13:16:46.124,0.074,-2.172,-3.760,0.000,0.000,-2.172,-3.760,4.342,-0.380,0.217,0.438,
13:16:46.148,0.098,-2.172,-3.760,0.000,0.000,-2.172,-3.760,4.343,-0.380,0.217,0.438,
13:16:46.168,0.119,-2.172,-3.761,0.000,0.000,-2.172,-3.761,4.343,-0.380,0.217,0.438,
13:16:46.189,0.139,-2.172,-3.761,0.000,0.000,-2.172,-3.761,4.343,-0.380,0.217,0.437,
13:16:46.210,0.160,-2.172,-3.761,0.000,0.000,-2.172,-3.761,4.344,-0.379,0.217,0.437,
13:16:46.230,0.181,-2.172,-3.762,0.000,0.000,-2.172,-3.762,4.344,-0.379,0.217,0.437,
13:16:46.255,0.206,-2.172,-3.762,0.000,0.000,-2.172,-3.762,4.344,-0.379,0.217,0.437,
13:16:46.276,0.226,-2.172,-3.762,0.000,0.000,-2.172,-3.762,4.344,-0.379,0.217,0.437,
13:16:46.296,0.247,-2.172,-3.762,0.000,0.000,-2.172,-3.762,4.344,-0.378,0.217,0.436,
13:16:46.317,0.267,-2.172,-3.762,0.000,0.000,-2.172,-3.762,4.344,-0.378,0.217,0.436,
13:16:46.338,0.288,-2.172,-3.762,0.000,0.000,-2.172,-3.762,4.344,-0.378,0.217,0.436,
13:16:46.357,0.308,-2.172,-3.762,0.000,0.000,-2.172,-3.762,4.344,-0.378,0.217,0.436,
13:16:46.378,0.328,-2.172,-3.762,0.000,0.000,-2.172,-3.762,4.344,-0.378,0.217,0.436,
13:16:46.399,0.349,-2.172,-3.762,0.000,0.000,-2.172,-3.762,4.344,-0.378,0.217,0.436,
13:16:46.419,0.369,-2.172,-3.762,0.000,0.000,-2.172,-3.762,4.344,-0.377,0.217,0.435,
13:16:46.440,0.390,-2.172,-3.762,0.000,0.000,-2.172,-3.762,4.344,-0.377,0.217,0.435,
13:16:46.460,0.410,-2.172,-3.762,0.000,0.000,-2.172,-3.762,4.344,-0.377,0.217,0.435,
13:16:46.480,0.430,-2.172,-3.762,0.000,0.000,-2.172,-3.762,4.344,-0.377,0.217,0.435,
13:16:46.500,0.450,-2.172,-3.762,0.000,0.000,-2.172,-3.762,4.344,-0.377,0.217,0.435,
13:16:46.520,0.471,-2.172,-3.762,0.000,0.000,-2.172,-3.762,4.344,-0.377,0.217,0.435,
