timestamp,elapsed_time,ball_x,ball_y,target_x,target_y,error_x,error_y,error_magnitude,controller_rx,controller_ry,tilt_magnitude,loop_time_ms
13:11:45.179,0.002,-8.861,-8.916,0.000,0.000,-8.861,-8.916,12.571,-0.922,0.623,1.113,
13:11:45.199,0.022,-8.793,-8.939,0.000,0.000,-8.793,-8.939,12.539,-0.847,0.591,1.032,
13:11:45.220,0.042,-8.748,-9.484,0.000,0.000,-8.748,-9.484,12.902,-1.168,0.584,1.306,
13:11:45.240,0.062,-8.722,-9.311,0.000,0.000,-8.722,-9.311,12.758,-0.880,0.593,1.061,
13:11:45.261,0.083,-8.710,-9.143,0.000,0.000,-8.710,-9.143,12.628,-0.695,0.607,0.923,
13:11:45.281,0.103,-8.707,-9.004,0.000,0.000,-8.707,-9.004,12.525,-0.594,0.623,0.861,
13:11:45.301,0.123,-8.709,-8.903,0.000,0.000,-8.709,-8.903,12.454,-0.553,0.636,0.843,
13:11:45.322,0.144,-8.714,-8.837,0.000,0.000,-8.714,-8.837,12.411,-0.549,0.647,0.848,
13:11:45.342,0.164,-8.719,-8.800,0.000,0.000,-8.719,-8.800,12.388,-0.565,0.654,0.864,
13:11:45.362,0.185,-8.724,-8.785,0.000,0.000,-8.724,-8.785,12.380,-0.590,0.658,0.883,
13:11:45.382,0.205,-8.728,-8.782,0.000,0.000,-8.728,-8.782,12.381,-0.614,0.660,0.901,
13:11:45.403,0.225,-8.730,-8.787,0.000,0.000,-8.730,-8.787,12.387,-0.635,0.660,0.916,
13:11:45.423,0.245,-8.732,-8.244,0.000,0.000,-8.732,-8.244,12.008,-0.260,0.660,0.709,
13:11:45.443,0.265,-8.732,-7.852,0.000,0.000,-8.732,-7.852,11.744,-0.115,0.659,0.669,
13:11:45.463,0.285,-8.733,-7.602,0.000,0.000,-8.733,-7.602,11.578,-0.112,0.659,0.668,
13:11:45.484,0.306,-8.732,-7.466,0.000,0.000,-8.732,-7.466,11.489,-0.184,0.658,0.683,
13:11:45.507,0.329,-9.210,-7.410,0.000,0.000,-9.210,-7.410,11.821,-0.282,0.995,1.034,
13:11:45.527,0.349,-9.078,-7.405,0.000,0.000,-9.078,-7.405,11.716,-0.380,0.792,0.878,
13:11:45.547,0.370,-9.432,-7.428,0.000,0.000,-9.432,-7.428,12.006,-0.460,1.002,1.103,
13:11:45.568,0.390,-8.246,-7.461,0.000,0.000,-8.246,-7.461,11.120,-0.520,0.056,0.523,
13:11:45.588,0.410,-7.358,-6.943,0.000,0.000,-7.358,-6.943,10.116,-0.168,-0.366,0.403,
13:11:45.609,0.431,-6.767,-6.571,0.000,0.000,-6.767,-6.571,9.432,-0.035,-0.448,0.449,
13:11:45.630,0.452,-6.425,-6.334,0.000,0.000,-6.425,-6.334,9.022,-0.036,-0.339,0.341,
13:11:45.650,0.472,-6.267,-6.206,0.000,0.000,-6.267,-6.206,8.820,-0.106,-0.150,0.184,
13:11:45.670,0.492,-6.230,-6.155,0.000,0.000,-6.230,-6.155,8.757,-0.202,0.051,0.208,
13:11:45.690,0.512,-6.262,-6.151,0.000,0.000,-6.262,-6.151,8.778,-0.295,0.226,0.372,
13:11:45.710,0.533,-6.324,-6.173,0.000,0.000,-6.324,-6.173,8.838,-0.372,0.360,0.518,
13:11:45.731,0.553,-6.392,-5.654,0.000,0.000,-6.392,-5.654,8.534,-0.038,0.451,0.452,
13:11:45.751,0.573,-6.453,-5.286,0.000,0.000,-6.453,-5.286,8.342,0.080,0.504,0.511,
13:11:45.772,0.594,-6.500,-5.607,0.000,0.000,-6.500,-5.607,8.584,-0.321,0.531,0.620,
13:11:45.792,0.614,-6.532,-5.333,0.000,0.000,-6.532,-5.333,8.433,-0.165,0.538,0.563,
13:11:45.813,0.635,-6.551,-5.696,0.000,0.000,-6.551,-5.696,8.681,-0.507,0.535,0.737,
13:11:45.833,0.655,-6.561,-5.981,0.000,0.000,-6.561,-5.981,8.878,-0.680,0.526,0.860,
13:11:45.853,0.676,-6.564,-6.180,0.000,0.000,-6.564,-6.180,9.016,-0.737,0.516,0.900,
13:11:45.874,0.696,-6.563,-6.303,0.000,0.000,-6.563,-6.303,9.100,-0.724,0.507,0.884,
13:11:45.894,0.717,-6.560,-5.815,0.000,0.000,-6.560,-5.815,8.767,-0.288,0.500,0.577,
13:11:45.914,0.737,-6.557,-5.989,0.000,0.000,-6.557,-5.989,8.880,-0.465,0.496,0.680,
13:11:45.935,0.757,-6.554,-6.129,0.000,0.000,-6.554,-6.129,8.973,-0.559,0.492,0.745,
13:11:45.956,0.778,-6.551,-6.230,0.000,0.000,-6.551,-6.230,9.040,-0.594,0.491,0.771,
13:11:45.976,0.799,-6.550,-6.293,0.000,0.000,-6.550,-6.293,9.083,-0.593,0.490,0.770,
13:11:45.997,0.819,-6.071,-6.327,0.000,0.000,-6.071,-6.327,8.769,-0.574,0.153,0.593,
13:11:46.017,0.839,-6.202,-6.892,0.000,0.000,-6.202,-6.892,9.272,-0.937,0.356,1.003,
13:11:46.037,0.860,-6.325,-6.742,0.000,0.000,-6.325,-6.742,9.244,-0.677,0.484,0.832,
13:11:46.058,0.880,-6.425,-6.593,0.000,0.000,-6.425,-6.593,9.206,-0.510,0.551,0.751,
13:11:46.078,0.901,-6.497,-6.469,0.000,0.000,-6.497,-6.469,9.168,-0.417,0.577,0.712,
13:11:46.099,0.921,-6.542,-6.377,0.000,0.000,-6.542,-6.377,9.136,-0.378,0.577,0.690,
13:11:46.119,0.942,-6.567,-6.318,0.000,0.000,-6.567,-6.318,9.112,-0.373,0.563,0.676,
13:11:46.140,0.962,-6.577,-6.284,0.000,0.000,-6.577,-6.284,9.096,-0.386,0.545,0.668,
13:11:46.160,0.983,-6.577,-6.269,0.000,0.000,-6.577,-6.269,9.086,-0.408,0.527,0.666,
13:11:46.181,1.003,-6.573,-6.267,0.000,0.000,-6.573,-6.267,9.082,-0.429,0.512,0.668,
13:11:46.201,1.024,-6.567,-6.271,0.000,0.000,-6.567,-6.271,9.080,-0.447,0.501,0.672,
13:11:46.222,1.044,-6.561,-6.278,0.000,0.000,-6.561,-6.278,9.080,-0.461,0.494,0.676,
13:11:46.242,1.064,-6.556,-6.285,0.000,0.000,-6.556,-6.285,9.082,-0.470,0.490,0.679,
13:11:46.263,1.085,-6.552,-6.291,0.000,0.000,-6.552,-6.291,9.083,-0.476,0.489,0.682,
13:11:46.283,1.105,-6.549,-6.296,0.000,0.000,-6.549,-6.296,9.085,-0.478,0.488,0.684,
13:11:46.304,1.126,-6.548,-6.299,0.000,0.000,-6.548,-6.299,9.086,-0.479,0.489,0.684,
13:11:46.324,1.146,-6.547,-6.301,0.000,0.000,-6.547,-6.301,9.087,-0.478,0.490,0.685,
13:11:46.344,1.166,-6.547,-6.302,0.000,0.000,-6.547,-6.302,9.088,-0.477,0.491,0.685,
13:11:46.366,1.188,-6.547,-6.303,0.000,0.000,-6.547,-6.303,9.088,-0.476,0.491,0.684,
13:11:46.386,1.208,-6.548,-6.302,0.000,0.000,-6.548,-6.302,9.088,-0.475,0.492,0.684,
13:11:46.406,1.229,-6.548,-6.302,0.000,0.000,-6.548,-6.302,9.088,-0.475,0.492,0.684,
13:11:46.427,1.249,-6.548,-6.302,0.000,0.000,-6.548,-6.302,9.088,-0.474,0.493,0.684,
13:11:46.447,1.269,-6.548,-6.301,0.000,0.000,-6.548,-6.301,9.088,-0.474,0.493,0.684,
13:11:46.468,1.290,-6.548,-6.301,0.000,0.000,-6.548,-6.301,9.088,-0.474,0.493,0.684,
13:11:46.488,1.310,-6.549,-6.301,0.000,0.000,-6.549,-6.301,9.088,-0.474,0.493,0.683,
13:11:46.509,1.331,-6.549,-6.301,0.000,0.000,-6.549,-6.301,9.088,-0.474,0.493,0.683,
13:11:46.529,1.351,-6.549,-6.301,0.000,0.000,-6.549,-6.301,9.088,-0.474,0.493,0.683,
13:11:46.549,1.371,-6.549,-6.301,0.000,0.000,-6.549,-6.301,9.088,-0.474,0.493,0.683,
13:11:46.569,1.391,-6.549,-6.301,0.000,0.000,-6.549,-6.301,9.088,-0.474,0.493,0.683,
13:11:46.590,1.412,-6.549,-6.301,0.000,0.000,-6.549,-6.301,9.088,-0.474,0.493,0.683,
13:11:46.610,1.432,-6.549,-6.301,0.000,0.000,-6.549,-6.301,9.088,-0.474,0.493,0.683,
13:11:46.630,1.452,-6.549,-6.301,0.000,0.000,-6.549,-6.301,9.088,-0.474,0.493,0.683,
13:11:46.651,1.473,-6.549,-6.301,0.000,0.000,-6.549,-6.301,9.088,-0.474,0.493,0.683,
13:11:46.671,1.493,-6.549,-6.301,0.000,0.000,-6.549,-6.301,9.088,-0.474,0.493,0.683,
13:11:46.691,1.513,-6.549,-6.301,0.000,0.000,-6.549,-6.301,9.088,-0.474,0.493,0.683,
13:11:46.712,1.534,-6.549,-6.301,0.000,0.000,-6.549,-6.301,9.088,-0.474,0.493,0.683,
13:11:46.732,1.554,-6.549,-6.301,0.000,0.000,-6.549,-6.301,9.088,-0.474,0.493,0.683,
13:11:46.752,1.574,-6.549,-6.301,0.000,0.000,-6.549,-6.301,9.088,-0.474,0.493,0.683,
13:11:46.773,1.595,-6.549,-6.301,0.000,0.000,-6.549,-6.301,9.088,-0.474,0.493,0.683,
13:11:46.794,1.616,-6.475,-6.230,0.000,0.000,-6.475,-6.230,8.986,-0.424,0.441,0.611,
13:11:46.814,1.637,-6.530,-5.563,0.000,0.000,-6.530,-5.563,8.578,0.001,0.488,0.488,
13:11:46.835,1.657,-6.548,-5.835,0.000,0.000,-6.548,-5.835,8.770,-0.317,0.497,0.589,
13:11:46.855,1.677,-6.552,-6.020,0.000,0.000,-6.552,-6.020,8.898,-0.481,0.496,0.691,
13:11:46.876,1.698,-6.552,-6.152,0.000,0.000,-6.552,-6.152,8.988,-0.561,0.493,0.747,
13:11:46.901,1.723,-6.551,-6.243,0.000,0.000,-6.551,-6.243,9.049,-0.588,0.492,0.767,
13:11:46.920,1.742,-6.550,-6.299,0.000,0.000,-6.550,-6.299,9.087,-0.585,0.491,0.764,
13:11:46.941,1.763,-6.549,-6.328,0.000,0.000,-6.549,-6.328,9.107,-0.565,0.492,0.749,
13:11:46.961,1.783,-6.549,-6.339,0.000,0.000,-6.549,-6.339,9.114,-0.541,0.492,0.731,
13:11:46.981,1.803,-6.549,-6.339,0.000,0.000,-6.549,-6.339,9.114,-0.517,0.492,0.714,
13:11:47.002,1.824,-6.549,-6.333,0.000,0.000,-6.549,-6.333,9.110,-0.498,0.492,0.700,
13:11:47.022,1.844,-6.549,-6.324,0.000,0.000,-6.549,-6.324,9.104,-0.484,0.492,0.691,
13:11:47.042,1.865,-6.549,-6.316,0.000,0.000,-6.549,-6.316,9.098,-0.475,0.492,0.684,
13:11:47.062,1.885,-6.549,-6.310,0.000,0.000,-6.549,-6.310,9.094,-0.470,0.492,0.681,
13:11:47.083,1.905,-6.549,-6.305,0.000,0.000,-6.549,-6.305,9.090,-0.468,0.492,0.680,
13:11:47.103,1.926,-6.549,-6.302,0.000,0.000,-6.549,-6.302,9.088,-0.468,0.492,0.680,
13:11:47.124,1.947,-7.504,-6.300,0.000,0.000,-7.504,-6.300,9.798,-0.469,1.168,1.259,
13:11:47.145,1.967,-8.196,-6.299,0.000,0.000,-8.196,-6.299,10.337,-0.470,1.437,1.512,
13:11:47.165,1.987,-8.642,-6.299,0.000,0.000,-8.642,-6.299,10.694,-0.472,1.452,1.527,
13:11:47.186,2.008,-8.888,-6.299,0.000,0.000,-8.888,-6.299,10.894,-0.473,1.332,1.414,
13:11:47.206,2.028,-8.991,-6.300,0.000,0.000,-8.991,-6.300,10.978,-0.473,1.162,1.255,
13:11:47.227,2.049,-9.002,-6.300,0.000,0.000,-9.002,-6.300,10.988,-0.474,0.993,1.100,
13:11:47.247,2.069,-8.965,-6.300,0.000,0.000,-8.965,-6.300,10.958,-0.474,0.851,0.974,
13:11:47.268,2.090,-8.908,-6.301,0.000,0.000,-8.908,-6.301,10.911,-0.474,0.746,0.884,
13:11:47.288,2.110,-8.851,-6.301,0.000,0.000,-8.851,-6.301,10.864,-0.474,0.677,0.827,
13:11:47.309,2.131,-8.801,-6.301,0.000,0.000,-8.801,-6.301,10.824,-0.474,0.638,0.795,
13:11:47.329,2.151,-8.765,-6.301,0.000,0.000,-8.765,-6.301,10.795,-0.474,0.621,0.781,
13:11:47.350,2.172,-8.740,-6.301,0.000,0.000,-8.740,-6.301,10.775,-0.474,0.618,0.779,
13:11:47.370,2.192,-9.681,-6.852,0.000,0.000,-9.681,-6.852,11.861,-0.864,1.298,1.559,
13:11:47.391,2.213,-10.368,-7.252,0.000,0.000,-10.368,-7.252,12.652,-1.019,1.575,1.876,
13:11:47.411,2.233,-11.289,-7.509,0.000,0.000,-11.289,-7.509,13.559,-1.028,1.936,2.192,
13:11:47.431,2.253,-11.883,-7.651,0.000,0.000,-11.883,-7.651,14.133,-0.959,1.958,2.180,
13:11:47.452,2.274,-10.778,-7.711,0.000,0.000,-10.778,-7.711,13.252,-0.860,0.787,1.166,
13:11:47.472,2.294,-9.877,-7.718,0.000,0.000,-9.877,-7.718,12.534,-0.763,0.158,0.779,
13:11:47.493,2.315,-9.225,-7.696,0.000,0.000,-9.225,-7.696,12.014,-0.681,-0.089,0.687,
13:11:47.513,2.335,-8.807,-7.663,0.000,0.000,-8.807,-7.663,11.674,-0.620,-0.098,0.628,
13:11:47.534,2.356,-10.011,-7.630,0.000,0.000,-10.011,-7.630,12.587,-0.581,1.031,1.184,
13:11:47.555,2.377,-10.478,-7.601,0.000,0.000,-10.478,-7.601,12.945,-0.558,1.260,1.378,
13:11:47.575,2.397,-9.835,-7.580,0.000,0.000,-9.835,-7.580,12.417,-0.548,0.633,0.837,
13:11:47.595,2.417,-9.325,-7.566,0.000,0.000,-9.325,-7.566,12.008,-0.546,0.311,0.628,
13:11:47.616,2.438,-8.964,-7.558,0.000,0.000,-8.964,-7.558,11.725,-0.549,0.199,0.584,
13:11:47.636,2.458,-8.740,-7.554,0.000,0.000,-8.740,-7.554,11.552,-0.553,0.214,0.593,
13:11:47.657,2.479,-8.622,-7.553,0.000,0.000,-8.622,-7.553,11.463,-0.558,0.293,0.630,
13:11:47.678,2.500,-8.578,-8.106,0.000,0.000,-8.578,-8.106,11.802,-0.952,0.392,1.030,
13:11:47.698,2.520,-8.580,-7.956,0.000,0.000,-8.580,-7.956,11.701,-0.721,0.486,0.869,
13:11:47.718,2.541,-8.605,-7.815,0.000,0.000,-8.605,-7.815,11.624,-0.576,0.562,0.805,
13:11:47.739,2.561,-8.638,-7.701,0.000,0.000,-8.638,-7.701,11.572,-0.500,0.617,0.794,
13:11:47.761,2.584,-8.671,-7.619,0.000,0.000,-8.671,-7.619,11.543,-0.471,0.652,0.804,
13:11:47.779,2.602,-8.697,-7.567,0.000,0.000,-8.697,-7.567,11.528,-0.472,0.670,0.820,
13:11:47.800,2.622,-8.716,-7.540,0.000,0.000,-8.716,-7.540,11.525,-0.488,0.678,0.835,
13:11:47.820,2.642,-8.729,-7.529,0.000,0.000,-8.729,-7.529,11.527,-0.509,0.679,0.848,
