timestamp,elapsed_time,ball_x,ball_y,target_x,target_y,error_x,error_y,error_magnitude,controller_rx,controller_ry,tilt_magnitude
14:44:45.082,0.005,147.032,5.903,0.000,0.000,147.032,5.903,147.151,0.808,-14.623,14.645
14:44:45.102,0.025,146.155,6.095,0.000,0.000,146.155,6.095,146.282,0.844,-14.367,14.392
14:44:45.122,0.046,145.572,6.188,0.000,0.000,145.572,6.188,145.704,0.848,-14.217,14.243
14:44:45.143,0.066,145.232,5.334,0.000,0.000,145.232,5.334,145.330,0.569,-14.149,14.161
14:44:45.168,0.092,145.073,4.679,0.000,0.000,145.073,4.679,145.148,0.369,-14.139,14.144
14:44:45.188,0.111,145.038,5.101,0.000,0.000,145.038,5.101,145.128,0.505,-14.165,14.174
14:44:45.209,0.132,143.556,3.694,0.000,0.000,143.556,3.694,143.603,0.084,-13.755,13.755
14:44:45.229,0.153,143.290,3.565,0.000,0.000,143.290,3.565,143.334,0.074,-13.735,13.735
14:44:45.250,0.173,143.206,3.550,0.000,0.000,143.206,3.550,143.250,0.097,-13.769,13.769
14:44:45.270,0.194,143.235,3.603,0.000,0.000,143.235,3.603,143.280,0.139,-13.833,13.834
14:44:45.290,0.214,144.847,2.808,0.000,0.000,144.847,2.808,144.874,-0.077,-14.366,14.366
14:44:45.311,0.235,144.541,2.261,0.000,0.000,144.541,2.261,144.559,-0.206,-14.286,14.287
14:44:45.332,0.255,145.032,1.925,0.000,0.000,145.032,1.925,145.045,-0.263,-14.450,14.452
14:44:45.352,0.276,144.608,1.752,0.000,0.000,144.608,1.752,144.618,-0.269,-14.328,14.330
14:44:45.372,0.296,145.783,2.573,0.000,0.000,145.783,2.573,145.806,0.021,-14.694,14.694
14:44:45.393,0.317,145.105,3.225,0.000,0.000,145.105,3.225,145.141,0.240,-14.479,14.481
14:44:45.413,0.336,143.023,3.407,0.000,0.000,143.023,3.407,143.064,0.303,-13.857,13.861
14:44:45.433,0.357,143.848,3.860,0.000,0.000,143.848,3.860,143.899,0.443,-14.149,14.156
14:44:45.453,0.377,144.796,5.071,0.000,0.000,144.796,5.071,144.885,0.800,-14.457,14.479
14:44:45.474,0.398,146.010,5.792,0.000,0.000,146.010,5.792,146.125,0.988,-14.824,14.857
14:44:45.496,0.419,144.159,6.285,0.000,0.000,144.159,6.285,144.296,1.095,-14.246,14.288
14:44:45.516,0.440,143.450,5.234,0.000,0.000,143.450,5.234,143.545,0.733,-14.050,14.069
14:44:45.537,0.460,144.465,4.692,0.000,0.000,144.465,4.692,144.542,0.549,-14.385,14.395
14:44:45.558,0.481,144.946,5.255,0.000,0.000,144.946,5.255,145.041,0.710,-14.535,14.552
14:44:45.578,0.502,145.206,4.753,0.000,0.000,145.206,4.753,145.283,0.541,-14.609,14.619
14:44:45.598,0.521,143.834,5.258,0.000,0.000,143.834,5.258,143.930,0.686,-14.189,14.205
14:44:45.619,0.542,145.878,4.752,0.000,0.000,145.878,4.752,145.956,0.518,-14.821,14.830
14:44:45.639,0.562,149.714,4.368,0.000,0.000,149.714,4.368,149.778,0.375,-14.995,15.000
14:44:45.660,0.584,150.146,4.985,0.000,0.000,150.146,4.985,150.229,0.551,-14.990,15.000
14:44:45.680,0.603,148.720,5.461,0.000,0.000,148.720,5.461,148.820,0.699,-14.984,15.000
14:44:45.701,0.624,147.513,4.916,0.000,0.000,147.513,4.916,147.595,0.539,-14.990,15.000
14:44:45.721,0.644,146.574,6.250,0.000,0.000,146.574,6.250,146.707,0.936,-14.725,14.755
14:44:45.741,0.665,145.898,7.221,0.000,0.000,145.898,7.221,146.076,1.196,-14.516,14.565
14:44:45.762,0.685,145.457,6.983,0.000,0.000,145.457,6.983,145.624,1.077,-14.391,14.431
14:44:45.782,0.706,145.207,7.596,0.000,0.000,145.207,7.596,145.406,1.223,-14.332,14.384
14:44:45.802,0.726,146.622,8.864,0.000,0.000,146.622,8.864,146.890,1.557,-14.775,14.857
14:44:45.825,0.749,146.190,8.836,0.000,0.000,146.190,8.836,146.457,1.482,-14.634,14.709
14:44:45.846,0.769,147.376,8.703,0.000,0.000,147.376,8.703,147.633,1.377,-14.937,15.000
14:44:45.866,0.790,147.479,8.527,0.000,0.000,147.479,8.527,147.725,1.274,-14.946,15.000
14:44:45.887,0.810,145.215,8.351,0.000,0.000,145.215,8.351,145.455,1.183,-14.290,14.339
14:44:45.907,0.831,144.289,9.076,0.000,0.000,144.289,9.076,144.574,1.365,-14.036,14.102
14:44:45.928,0.852,142.937,9.593,0.000,0.000,142.937,9.593,143.259,1.475,-13.669,13.749
14:44:45.948,0.871,142.061,10.806,0.000,0.000,142.061,10.806,142.471,1.787,-13.469,13.587
14:44:45.968,0.892,143.090,12.509,0.000,0.000,143.090,12.509,143.636,2.227,-13.851,14.029
14:44:45.989,0.912,143.982,12.766,0.000,0.000,143.982,12.766,144.547,2.207,-14.165,14.336
14:44:46.009,0.933,140.875,13.675,0.000,0.000,140.875,13.675,141.537,2.387,-13.256,13.469
14:44:46.030,0.953,137.852,14.212,0.000,0.000,137.852,14.212,138.582,2.446,-12.432,12.670
14:44:46.050,0.973,132.763,14.468,0.000,0.000,132.763,14.468,133.549,2.420,-11.041,11.303
14:44:46.070,0.993,129.329,14.533,0.000,0.000,129.329,14.533,130.143,2.342,-10.234,10.499
14:44:46.090,1.013,125.755,14.482,0.000,0.000,125.755,14.482,126.586,2.238,-9.432,9.694
14:44:46.110,1.034,120.601,13.494,0.000,0.000,120.601,13.494,121.353,1.863,-8.200,8.409
14:44:46.131,1.054,113.580,11.851,0.000,0.000,113.580,11.851,114.196,1.318,-6.480,6.612
14:44:46.152,1.076,107.595,11.555,0.000,0.000,107.595,11.555,108.213,1.216,-5.172,5.313
14:44:46.173,1.097,101.769,11.436,0.000,0.000,101.769,11.436,102.409,1.175,-3.983,4.153
14:44:46.194,1.117,93.843,10.555,0.000,0.000,93.843,10.555,94.435,0.907,-2.225,2.402
14:44:46.214,1.137,83.672,8.226,0.000,0.000,83.672,8.226,84.076,0.223,0.111,0.249
14:44:46.234,1.157,75.812,6.629,0.000,0.000,75.812,6.629,76.102,-0.196,1.621,1.633
14:44:46.254,1.178,68.313,4.776,0.000,0.000,68.313,4.776,68.479,-0.666,2.951,3.025
14:44:46.275,1.198,61.866,3.643,0.000,0.000,61.866,3.643,61.973,-0.891,3.906,4.007
14:44:46.297,1.220,53.141,3.066,0.000,0.000,53.141,3.066,53.229,-0.939,5.515,5.594
14:44:46.316,1.240,46.517,2.878,0.000,0.000,46.517,2.878,46.606,-0.871,6.419,6.478
14:44:46.337,1.260,39.970,2.057,0.000,0.000,39.970,2.057,40.023,-1.001,7.276,7.345
14:44:46.357,1.281,33.427,1.608,0.000,0.000,33.427,1.608,33.465,-1.015,8.112,8.175
14:44:46.377,1.301,25.322,1.427,0.000,0.000,25.322,1.427,25.362,-0.952,9.398,9.446
14:44:46.397,1.321,19.097,1.420,0.000,0.000,19.097,1.420,19.150,-0.845,10.072,10.107
14:44:46.418,1.341,14.292,1.512,0.000,0.000,14.292,1.512,14.372,-0.718,10.315,10.340
14:44:46.438,1.362,8.939,1.646,0.000,0.000,8.939,1.646,9.089,-0.591,10.747,10.763
14:44:46.459,1.383,4.599,2.665,0.000,0.000,4.599,2.665,5.315,-0.210,10.885,10.887
14:44:46.481,1.404,-0.581,2.547,0.000,0.000,-0.581,2.547,2.612,-0.198,11.304,11.306
14:44:46.501,1.425,-4.936,2.424,0.000,0.000,-4.936,2.424,5.500,-0.189,11.486,11.488
