timestamp,elapsed_time,ball_x,ball_y,target_x,target_y,error_x,error_y,error_magnitude,controller_rx,controller_ry,tilt_magnitude,loop_time_ms
13:40:19.487,0.953,163.927,25.558,0.000,0.000,163.927,25.558,165.908,-14.610,-3.399,15.000,
13:40:19.507,0.972,165.071,7.424,0.000,0.000,165.071,7.424,165.238,-14.330,-4.432,15.000,
13:40:19.526,0.992,160.325,10.064,0.000,0.000,160.325,10.064,160.641,-13.833,-5.801,15.000,
13:40:19.546,1.011,155.843,12.112,0.000,0.000,155.843,12.112,156.313,-12.836,-7.762,15.000,
13:40:19.565,1.030,151.760,12.528,0.000,0.000,151.760,12.528,152.277,-8.853,-7.516,11.613,
13:40:19.584,1.049,141.940,9.972,0.000,0.000,141.940,9.972,142.290,-7.114,-1.299,7.232,
13:40:19.603,1.069,131.458,9.578,0.000,0.000,131.458,9.578,131.806,-4.568,3.058,5.497,
13:40:19.622,1.088,122.280,7.426,0.000,0.000,122.280,7.426,122.506,-4.263,5.101,6.648,
13:40:19.642,1.107,122.301,4.089,0.000,0.000,122.301,4.089,122.370,-4.959,0.149,4.961,
13:40:19.661,1.127,112.919,-0.066,0.000,0.000,112.919,-0.066,112.919,-6.081,3.561,7.047,
13:40:19.680,1.146,106.570,-2.662,0.000,0.000,106.570,-2.662,106.603,-5.820,3.891,7.001,
13:40:19.700,1.166,97.562,-5.079,0.000,0.000,97.562,-5.079,97.694,-5.588,6.026,8.218,
13:40:19.719,1.185,89.252,-6.244,0.000,0.000,89.252,-6.244,89.470,-4.662,7.219,8.593,
13:40:19.738,1.204,82.351,-7.970,0.000,0.000,82.351,-7.970,82.736,-4.435,7.291,8.534,
13:40:19.759,1.225,78.581,-2.787,0.000,0.000,78.581,-2.787,78.630,0.116,5.490,5.491,
13:40:19.778,1.244,76.652,-0.774,0.000,0.000,76.652,-0.774,76.656,1.326,3.127,3.397,
13:40:19.799,1.265,72.039,-0.174,0.000,0.000,72.039,-0.174,72.039,1.273,3.321,3.556,
13:40:19.818,1.284,72.494,2.307,0.000,0.000,72.494,2.307,72.530,2.459,0.301,2.478,
13:40:19.838,1.303,69.266,3.259,0.000,0.000,69.266,3.259,69.343,2.344,0.598,2.419,
13:40:19.858,1.323,68.896,5.459,0.000,0.000,68.896,5.459,69.112,3.058,-0.894,3.186,
13:40:19.877,1.343,66.927,5.849,0.000,0.000,66.927,5.849,67.182,2.468,-0.940,2.641,
13:40:19.896,1.362,65.829,5.415,0.000,0.000,65.829,5.415,66.051,1.506,-1.527,2.145,
13:40:19.916,1.381,64.380,4.984,0.000,0.000,64.380,4.984,64.572,0.828,-1.678,1.872,
13:40:19.935,1.400,64.068,6.193,0.000,0.000,64.068,6.193,64.367,1.536,-2.564,2.988,
13:40:19.954,1.420,65.504,7.576,0.000,0.000,65.504,7.576,65.941,2.159,-4.401,4.902,
13:40:19.973,1.439,66.762,8.500,0.000,0.000,66.762,8.500,67.301,2.269,-5.504,5.954,
13:40:19.993,1.458,68.200,9.578,0.000,0.000,68.200,9.578,68.869,2.475,-6.380,6.843,
13:40:20.013,1.479,68.752,11.300,0.000,0.000,68.752,11.300,69.674,3.100,-6.348,7.064,
13:40:20.032,1.497,69.050,11.342,0.000,0.000,69.050,11.342,69.975,2.345,-6.158,6.589,
13:40:20.052,1.517,70.094,11.179,0.000,0.000,70.094,11.179,70.980,1.708,-6.577,6.795,
13:40:20.071,1.537,69.855,10.930,0.000,0.000,69.855,10.930,70.705,1.227,-5.957,6.082,
13:40:20.090,1.556,70.491,11.205,0.000,0.000,70.491,11.205,71.376,1.284,-6.175,6.307,
13:40:20.110,1.575,72.749,10.306,0.000,0.000,72.749,10.306,73.475,0.487,-7.496,7.511,
13:40:20.129,1.595,74.799,9.072,0.000,0.000,74.799,9.072,75.347,-0.296,-8.266,8.272,
13:40:20.148,1.614,75.673,8.722,0.000,0.000,75.673,8.722,76.174,-0.205,-7.978,7.981,
13:40:20.167,1.633,77.012,8.550,0.000,0.000,77.012,8.550,77.486,-0.027,-8.148,8.148,
13:40:20.186,1.652,77.802,7.964,0.000,0.000,77.802,7.964,78.209,-0.212,-7.900,7.902,
13:40:20.206,1.672,79.567,7.592,0.000,0.000,79.567,7.592,79.929,-0.195,-8.458,8.460,
13:40:20.228,1.694,89.007,7.921,0.000,0.000,89.007,7.921,89.359,0.310,-14.372,14.375,
13:40:20.247,1.713,88.818,7.698,0.000,0.000,88.818,7.698,89.151,0.250,-11.563,11.566,
13:40:20.266,1.732,86.164,8.091,0.000,0.000,86.164,8.091,86.543,0.648,-7.964,7.990,
13:40:20.285,1.751,93.951,10.010,0.000,0.000,93.951,10.010,94.482,2.012,-13.039,13.193,
13:40:20.304,1.770,90.320,9.287,0.000,0.000,90.320,9.287,90.796,1.054,-8.358,8.424,
13:40:20.325,1.791,87.128,9.179,0.000,0.000,87.128,9.179,87.610,0.853,-5.532,5.597,
13:40:20.344,1.810,84.642,10.135,0.000,0.000,84.642,10.135,85.247,1.483,-4.115,4.374,
13:40:20.363,1.829,82.903,10.292,0.000,0.000,82.903,10.292,83.539,1.345,-3.663,3.902,
13:40:20.383,1.849,81.819,10.345,0.000,0.000,81.819,10.345,82.471,1.185,-3.793,3.974,
13:40:20.402,1.868,80.323,10.335,0.000,0.000,80.323,10.335,80.985,1.036,-3.554,3.702,
13:40:20.421,1.887,79.429,9.225,0.000,0.000,79.429,9.225,79.963,0.151,-3.790,3.793,
13:40:20.445,1.911,78.989,8.386,0.000,0.000,78.989,8.386,79.433,-0.260,-4.245,4.253,
13:40:20.465,1.931,78.857,7.281,0.000,0.000,78.857,7.281,79.192,-0.740,-4.751,4.809,
13:40:20.484,1.950,78.909,6.012,0.000,0.000,78.909,6.012,79.138,-1.200,-5.209,5.346,
13:40:20.503,1.969,79.052,5.189,0.000,0.000,79.052,5.189,79.222,-1.212,-5.574,5.704,
13:40:20.523,1.989,80.147,4.727,0.000,0.000,80.147,4.727,80.286,-0.983,-6.497,6.571,
13:40:20.542,2.008,79.140,4.526,0.000,0.000,79.140,4.526,79.269,-0.659,-5.619,5.658,
13:40:20.562,2.027,78.359,3.962,0.000,0.000,78.359,3.962,78.459,-0.714,-5.184,5.233,
13:40:20.581,2.047,78.277,2.033,0.000,0.000,78.277,2.033,78.304,-1.744,-5.381,5.657,
13:40:20.600,2.066,78.743,1.766,0.000,0.000,78.743,1.766,78.763,-1.272,-5.900,6.036,
13:40:20.620,2.085,80.056,1.202,0.000,0.000,80.056,1.202,80.065,-1.185,-6.858,6.959,
13:40:20.639,2.105,81.027,0.375,0.000,0.000,81.027,0.375,81.028,-1.333,-7.270,7.391,
13:40:20.658,2.124,89.525,2.545,0.000,0.000,89.525,2.545,89.561,0.699,-12.963,12.982,
13:40:20.678,2.143,91.240,2.734,0.000,0.000,91.240,2.734,91.280,0.658,-12.025,12.043,
13:40:20.697,2.163,87.362,2.713,0.000,0.000,87.362,2.713,87.404,0.494,-7.714,7.729,
13:40:20.716,2.182,85.632,2.089,0.000,0.000,85.632,2.089,85.657,-0.015,-6.153,6.153,
13:40:20.736,2.202,85.384,0.564,0.000,0.000,85.384,0.564,85.386,-0.995,-6.055,6.136,
13:40:20.755,2.220,83.793,1.687,0.000,0.000,83.793,1.687,83.810,0.143,-5.061,5.063,
13:40:20.774,2.240,82.665,-1.162,0.000,0.000,82.665,-1.162,82.673,-1.888,-4.693,5.059,
13:40:20.794,2.259,86.101,-12.854,0.000,0.000,86.101,-12.854,87.056,-9.650,-7.701,12.346,
13:40:20.813,2.279,82.760,-14.909,0.000,0.000,82.760,-14.909,84.092,-8.088,-4.878,9.445,
13:40:20.832,2.298,78.804,-16.733,0.000,0.000,78.804,-16.733,80.561,-6.961,-2.514,7.401,
13:40:20.852,2.318,75.548,-18.538,0.000,0.000,75.548,-18.538,77.789,-6.264,-1.379,6.414,
13:40:20.874,2.339,72.526,-20.439,0.000,0.000,72.526,-20.439,75.351,-5.928,-0.722,5.972,
13:40:20.893,2.359,70.678,-22.484,0.000,0.000,70.678,-22.484,74.168,-5.863,-1.058,5.957,
