timestamp,elapsed_time,ball_x,ball_y,target_x,target_y,error_x,error_y,error_magnitude,controller_rx,controller_ry,tilt_magnitude,loop_time_ms
13:45:09.192,0.017,88.231,-6.521,0.000,0.000,88.231,-6.521,88.472,-0.452,-8.895,8.907,
13:45:09.210,0.034,85.400,-6.333,0.000,0.000,85.400,-6.333,85.635,-0.409,-7.937,7.947,
13:45:09.227,0.052,82.891,-6.719,0.000,0.000,82.891,-6.719,83.162,-0.561,-7.154,7.176,
13:45:09.248,0.072,81.572,-6.031,0.000,0.000,81.572,-6.031,81.795,-0.341,-6.824,6.833,
13:45:09.262,0.087,81.220,-5.516,0.000,0.000,81.220,-5.516,81.407,-0.194,-6.839,6.842,
13:45:09.280,0.104,80.735,-5.660,0.000,0.000,80.735,-5.660,80.933,-0.278,-6.804,6.810,
13:45:09.297,0.122,78.907,-5.440,0.000,0.000,78.907,-5.440,79.094,-0.233,-6.317,6.322,
13:45:09.315,0.139,80.036,-5.163,0.000,0.000,80.036,-5.163,80.202,-0.171,-6.854,6.856,
13:45:09.332,0.156,89.455,-5.005,0.000,0.000,89.455,-5.005,89.595,-0.153,-10.134,10.135,
13:45:09.349,0.174,87.244,-4.916,0.000,0.000,87.244,-4.916,87.382,-0.157,-9.272,9.273,
13:45:09.367,0.192,84.994,-4.873,0.000,0.000,84.994,-4.873,85.134,-0.177,-8.461,8.463,
13:45:09.384,0.209,89.749,-5.369,0.000,0.000,89.749,-5.369,89.909,-0.374,-10.063,10.070,
13:45:09.402,0.226,94.605,-5.260,0.000,0.000,94.605,-5.260,94.751,-0.354,-11.585,11.591,
13:45:09.419,0.243,95.602,-5.211,0.000,0.000,95.602,-5.211,95.744,-0.355,-11.708,11.713,
13:45:09.437,0.261,99.131,-5.133,0.000,0.000,99.131,-5.133,99.264,-0.345,-12.679,12.684,
13:45:09.454,0.279,101.887,-5.084,0.000,0.000,101.887,-5.084,102.014,-0.345,-13.328,13.333,
13:45:09.472,0.297,96.041,-4.521,0.000,0.000,96.041,-4.521,96.147,-0.172,-11.050,11.051,
13:45:09.490,0.314,92.485,-4.127,0.000,0.000,92.485,-4.127,92.577,-0.068,-9.711,9.711,
13:45:09.507,0.332,97.222,-2.853,0.000,0.000,97.222,-2.853,97.264,0.326,-11.256,11.261,
13:45:09.525,0.349,101.303,-1.430,0.000,0.000,101.303,-1.430,101.313,0.742,-12.474,12.496,
13:45:09.542,0.366,103.403,0.067,0.000,0.000,103.403,0.067,103.403,1.157,-12.945,12.997,
13:45:09.559,0.384,103.709,0.950,0.000,0.000,103.709,0.950,103.713,1.339,-12.787,12.857,
13:45:09.577,0.401,105.572,0.882,0.000,0.000,105.572,0.882,105.576,1.192,-13.172,13.226,
13:45:09.594,0.418,105.902,0.822,0.000,0.000,105.902,0.822,105.905,1.061,-13.021,13.064,
13:45:09.611,0.436,106.348,1.256,0.000,0.000,106.348,1.256,106.355,1.109,-12.928,12.975,
13:45:09.629,0.453,106.020,1.500,0.000,0.000,106.020,1.500,106.031,1.092,-12.588,12.636,
13:45:09.646,0.471,106.053,1.105,0.000,0.000,106.053,1.105,106.059,0.866,-12.401,12.431,
13:45:09.663,0.488,106.409,0.743,0.000,0.000,106.409,0.743,106.412,0.669,-12.341,12.359,
13:45:09.680,0.505,105.357,0.720,0.000,0.000,105.357,0.720,105.359,0.601,-11.817,11.833,
13:45:09.698,0.523,105.722,0.983,0.000,0.000,105.722,0.983,105.726,0.637,-11.812,11.829,
13:45:09.715,0.540,106.227,1.690,0.000,0.000,106.227,1.690,106.240,0.820,-11.858,11.886,
13:45:09.732,0.557,105.973,2.136,0.000,0.000,105.973,2.136,105.995,0.905,-11.649,11.684,
13:45:09.750,0.575,105.274,1.907,0.000,0.000,105.274,1.907,105.291,0.759,-11.309,11.334,
13:45:09.767,0.592,103.859,1.195,0.000,0.000,103.859,1.195,103.865,0.463,-10.755,10.765,
13:45:09.789,0.614,103.254,1.141,0.000,0.000,103.254,1.141,103.261,0.410,-10.515,10.523,
13:45:09.803,0.628,103.751,0.610,0.000,0.000,103.751,0.610,103.753,0.203,-10.663,10.665,
13:45:09.820,0.645,103.785,0.222,0.000,0.000,103.785,0.222,103.785,0.058,-10.646,10.646,
13:45:09.838,0.662,102.262,-0.063,0.000,0.000,102.262,-0.063,102.262,-0.042,-10.107,10.107,
13:45:09.855,0.680,102.871,-0.172,0.000,0.000,102.871,-0.172,102.871,-0.074,-10.324,10.324,
13:45:09.873,0.697,102.550,-0.231,0.000,0.000,102.550,-0.231,102.550,-0.089,-10.212,10.213,
13:45:09.897,0.721,102.718,-0.253,0.000,0.000,102.718,-0.253,102.719,-0.090,-10.273,10.274,
13:45:09.911,0.735,102.819,-0.247,0.000,0.000,102.819,-0.247,102.819,-0.081,-10.307,10.307,
13:45:09.928,0.752,102.464,-0.220,0.000,0.000,102.464,-0.220,102.465,-0.066,-10.185,10.185,
13:45:09.946,0.770,102.216,-1.186,0.000,0.000,102.216,-1.186,102.223,-0.386,-10.108,10.115,
13:45:09.963,0.787,102.498,-1.400,0.000,0.000,102.498,-1.400,102.508,-0.432,-10.214,10.223,
13:45:09.980,0.805,101.882,-2.014,0.000,0.000,101.882,-2.014,101.902,-0.609,-10.010,10.029,
13:45:09.997,0.822,100.415,-2.350,0.000,0.000,100.415,-2.350,100.442,-0.681,-9.535,9.560,
13:45:10.015,0.839,102.002,-1.960,0.000,0.000,102.002,-1.960,102.021,-0.505,-10.119,10.132,
13:45:10.032,0.857,102.233,-1.732,0.000,0.000,102.233,-1.732,102.247,-0.398,-10.205,10.213,
13:45:10.049,0.874,102.284,-1.568,0.000,0.000,102.284,-1.568,102.296,-0.320,-10.224,10.229,
13:45:10.066,0.891,102.266,-1.442,0.000,0.000,102.266,-1.442,102.276,-0.261,-10.218,10.222,
13:45:10.083,0.908,101.793,-0.842,0.000,0.000,101.793,-0.842,101.797,-0.048,-10.060,10.060,
